lemma	example	translation
iščekivanje	U *iščekivanju* vesti nije mogao da radi.	В *ожидании* новостей он не мог работать.
zanos	Pisao je u pravom stvaralačkom *zanosu*.	Он писал в настоящем творческом *порыве*.
čemer	U njegovim rečima osećao se *čemer*.	В его словах чувствовалась *горечь*.
strepnja	*Strepnja* je rasla sa svakim satom.	*Тревога* росла с каждым часом.
sete	Pesma je puna tihe *sete*.	Стихотворение полно тихой *тоски*.
klonulost	Posle poraza ga je obuzela *klonulost*.	После поражения им овладело *уныние*.
spokoj	U toj tišini je našao *spokoj*.	В этой тишине он нашёл *покой*.
milost	Molio je za *milost*, ali uzalud.	Он молил о *милости*, но напрасно.
pregnuće	Poduhvat je zahtevao ogromno *pregnuće*.	Затея потребовала огромного *усилия*.
usud	Verovao je da mu je tako sudio *usud*.	Он верил, что так судил ему *рок*.
tlapnja	Ta nada se pokazala kao *tlapnja*.	Эта надежда оказалась *иллюзией*.
obzorje	Sunce je tonulo za *obzorje*.	Солнце садилось за *горизонт*.
uzgred	*Uzgred*, on o tome ništa ne zna.	*Между прочим*, он об этом ничего не знает.
napose	To važi *napose* za starije tekstove.	Это касается *в особенности* старых текстов.
dotle	*Dotle* niko nije ni slutio istinu.	*До тех пор* никто и не подозревал правду.
otuda	*Otuda* i toliko nesporazuma.	*Отсюда* и столько недоразумений.
stoput	*Stoput* sam mu to ponovio.	Я *сто раз* ему это повторял.
kadgod	Svrati *kadgod* budeš u gradu.	Заходи, *когда-нибудь* будешь в городе.
pokatkad	*Pokatkad* se seti tih godina.	*Изредка* он вспоминает те годы.
nipošto	To *nipošto* ne smemo dozvoliti.	Этого мы *ни в коем случае* не должны допустить.
ponajmanje	Njemu je *ponajmanje* stalo do priznanja.	Ему *менее всего* важно признание.
umnogome	Uspeh *umnogome* zavisi od pripreme.	Успех *во многом* зависит от подготовки.
arhaizam	U tekstu se javlja poneki *arhaizam*.	В тексте встречается редкий *архаизм*.
dijalekat	Njegov *dijalekat* odmah odaje poreklo.	Его *диалект* сразу выдаёт происхождение.
žargon	Studentski *žargon* se menja svake decenije.	Студенческий *жаргон* меняется каждое десятилетие.
