theme	lemma	translation	pos	note
Покупки	novac	деньги	NOUN	м
Покупки	cena	цена	NOUN	ж
Покупки	račun	счёт, чек	NOUN	м
Покупки	popust	скидка	NOUN	м
Покупки	kupovina	покупка	NOUN	ж
Покупки	kasa	касса	NOUN	ж
Покупки	kusur	сдача	NOUN	м
Покупки	kese	пакет	NOUN	ж
Покупки	roba	товар	NOUN	ж
Покупки	prodaja	продажа	NOUN	ж
Покупки	poklon	подарок	NOUN	м
Покупки	besplatan	бесплатный	ADJ
Покупки	prodati	продать	VERB	сврш.
Покупки	koštati	стоить	VERB	несврш.
Покупки	birati	выбирать	VERB	несврш.
Покупки	probati	пробовать, примерять	VERB	несврш.
Здоровье	zdravlje	здоровье	NOUN	с
Здоровье	bolest	болезнь	NOUN	ж
Здоровье	bol	боль	NOUN	м
Здоровье	lek	лекарство	NOUN	м
Здоровье	temperatura	температура	NOUN	ж
Здоровье	prehlada	простуда	NOUN	ж
Здоровье	kašalj	кашель	NOUN	м
Здоровье	povreda	травма	NOUN	ж
Здоровье	pregled	осмотр	NOUN	м
Здоровье	recept	рецепт	NOUN	м
Здоровье	bolestan	больной	ADJ
Здоровье	zdrav	здоровый	ADJ
Здоровье	umoran	усталый	ADJ
Здоровье	boleti	болеть	VERB	несврш.
Здоровье	odmoriti	отдохнуть	VERB	сврш.
Здоровье	oporaviti	поправиться	VERB	сврш.
Работа	zaposlenje	трудоустройство	NOUN	с
Работа	plata	зарплата	NOUN	ж
Работа	kancelarija	офис	NOUN	ж
Работа	kolega	коллега	NOUN	м
Работа	šef	начальник	NOUN	м
Работа	sastanak	встреча, совещание	NOUN	м
Работа	ugovor	договор	NOUN	м
Работа	iskustvo	опыт	NOUN	с
Работа	odmor	отпуск, отдых	NOUN	м
Работа	zarada	заработок	NOUN	ж
Работа	preduzeće	предприятие	NOUN	с
Работа	firma	фирма	NOUN	ж
Работа	zaposliti	нанять, устроить	VERB	сврш.
Работа	zaraditi	заработать	VERB	сврш.
Работа	dogovoriti	договориться	VERB	сврш.
Работа	odlučiti	решить	VERB	сврш.
Путешествия	putovanje	поездка	NOUN	с
Путешествия	granica	граница	NOUN	ж
Путешествия	pasoš	паспорт	NOUN	м
Путешествия	prtljag	багаж	NOUN	м
Путешествия	kofer	чемодан	NOUN	м
Путешествия	rezervacija	бронирование	NOUN	ж
Путешествия	recepcija	стойка регистрации	NOUN	ж
Путешествия	mapa	карта	NOUN	ж
Путешествия	turista	турист	NOUN	м
Путешествия	plaža	пляж	NOUN	ж
Путешествия	izlet	экскурсия	NOUN	м
Путешествия	smeštaj	размещение	NOUN	м
Путешествия	rezervisati	забронировать	VERB	сврш.
Путешествия	zakasniti	опоздать	VERB	сврш.
Путешествия	krenuti	отправиться	VERB	сврш.
Путешествия	izgubiti	потерять	VERB	сврш.
Чувства	osećanje	чувство	NOUN	с
Чувства	ljubav	любовь	NOUN	ж
Чувства	sreća	счастье, удача	NOUN	ж
Чувства	strah	страх	NOUN	м
Чувства	bes	гнев	NOUN	м
Чувства	tuga	печаль	NOUN	ж
Чувства	radost	радость	NOUN	ж
Чувства	nada	надежда	NOUN	ж
Чувства	srećan	счастливый	ADJ
