lemma	example	translation
zajednica	Naša *zajednica* okuplja stotinu porodica.	Наше *сообщество* объединяет сотню семей.
stanovništvo	*Stanovništvo* grada raste svake godine.	*Население* города растёт каждый год.
manjina	Prava *manjina* zaštićena su zakonom.	Права *меньшинств* защищены законом.
većina	*Većina* je glasala za predlog.	*Большинство* проголосовало за предложение.
jednakost	Zakon garantuje *jednakost* pred sudom.	Закон гарантирует *равенство* перед судом.
sloboda	*Sloboda* govora je osnovno pravo.	*Свобода* слова — основное право.
odgovornost	Za grešku snosi punu *odgovornost*.	За ошибку он несёт полную *ответственность*.
obaveza	Plaćanje poreza je zakonska *obaveza*.	Уплата налога — законная *обязанность*.
pravda	Ljudi traže *pravdu*, a ne osvetu.	Люди ищут *справедливости*, а не мести.
sukob	*Sukob* je rešen pregovorima.	*Конфликт* был решён переговорами.
saradnja	*Saradnja* dve škole traje pet godina.	*Сотрудничество* двух школ длится пять лет.
podrška	Bez vaše *podrške* ne bismo uspeli.	Без вашей *поддержки* мы бы не справились.
uticaj	Njegov *uticaj* na mlade je velik.	Его *влияние* на молодёжь велико.
posledica	Odluka je imala teške *posledice*.	Решение имело тяжёлые *последствия*.
promena	*Promena* zakona stupa na snagu odmah.	*Изменение* закона вступает в силу сразу.
razvoj	*Razvoj* grada zavisi od ulaganja.	*Развитие* города зависит от вложений.
politika	*Politika* ga nikada nije zanimala.	*Политика* его никогда не интересовала.
predsednik	*Predsednik* je potpisao ukaz.	*Президент* подписал указ.
ministar	*Ministar* je najavio nove mere.	*Министр* объявил о новых мерах.
stranka	Vladajuća *stranka* ima većinu.	У правящей *партии* большинство.
glasanje	*Glasanje* traje do osam uveče.	*Голосование* идёт до восьми вечера.
skupština	*Skupština* zaseda od jutros.	*Парламент* заседает с утра.
odluka	*Odluka* je doneta jednoglasno.	*Решение* принято единогласно.
pregovori	*Pregovori* traju već tri nedelje.	*Переговоры* идут уже три недели.
sporazum	Strane su potpisale *sporazum*.	Стороны подписали *соглашение*.
reforma	*Reforma* obrazovanja počinje u septembru.	*Реформа* образования начинается в сентябре.
vlast	*Vlast* je obećala rešenje do leta.	*Власть* обещала решение до лета.
opozicija	*Opozicija* je zatražila raspravu.	*Оппозиция* потребовала обсуждения.
privreda	*Privreda* je porasla za dva odsto.	*Экономика* выросла на два процента.
tržište	Domaće *tržište* je maleno.	Внутренний *рынок* мал.
proizvodnja	*Proizvodnja* je pala tokom zime.	*Производство* упало за зиму.
potrošnja	*Potrošnja* struje raste zimi.	*Потребление* электричества растёт зимой.
ulaganje	*Ulaganje* u obrazovanje se isplati.	*Вложение* в образование окупается.
dobit	Firma je prošle godine ostvarila *dobit*.	В прошлом году фирма получила *прибыль*.
gubitak	*Gubitak* je bio manji od očekivanog.	*Убыток* оказался меньше ожидаемого.
kredit	Uzeli su *kredit* na deset godina.	Они взяли *кредит* на десять лет.
kamata	*Kamata* na taj kredit je visoka.	*Процент* по этому кредиту высокий.
dugovanje	*Dugovanje* mora da se izmiri do kraja meseca.	*Задолженность* надо погасить до конца месяца.
trošak	Ovaj *trošak* nije bio planiran.	Этот *расход* не был запланирован.
prihod	Mesečni *prihod* jedva pokriva račune.	Месячный *доход* едва покрывает счета.
nezaposlenost	*Nezaposlenost* je pala na deset odsto.	*Безработица* упала до десяти процентов.
štedeti	*Štedimo* za novi stan.	Мы *копим* на новую квартиру.
