theme	lemma	translation	pos	note
Общество	zajednica	сообщество	NOUN	ж
Общество	stanovništvo	население	NOUN	с
Общество	manjina	меньшинство	NOUN	ж
Общество	većina	большинство	NOUN	ж
Общество	jednakost	равенство	NOUN	ж
Общество	sloboda	свобода	NOUN	ж
Общество	odgovornost	ответственность	NOUN	ж
Общество	obaveza	обязанность	NOUN	ж
Общество	pravda	справедливость	NOUN	ж
Общество	sukob	конфликт	NOUN	м
Общество	saradnja	сотрудничество	NOUN	ж
Общество	podrška	поддержка	NOUN	ж
Общество	uticaj	влияние	NOUN	м
Общество	posledica	последствие	NOUN	ж
Общество	promena	перемена	NOUN	ж
Общество	razvoj	развитие	NOUN	м
Политика	politika	политика	NOUN	ж
Политика	predsednik	президент	NOUN	м
Политика	ministar	министр	NOUN	м
Политика	stranka	партия	NOUN	ж
Политика	glasanje	голосование	NOUN	с
Политика	skupština	парламент	NOUN	ж
Политика	odluka	решение	NOUN	ж
Политика	pregovori	переговоры	NOUN	мн.
Политика	sporazum	соглашение	NOUN	м
Политика	reforma	реформа	NOUN	ж
Политика	vlast	власть	NOUN	ж
Политика	opozicija	оппозиция	NOUN	ж
Экономика	privreda	экономика, хозяйство	NOUN	ж
Экономика	tržište	рынок	NOUN	с
Экономика	proizvodnja	производство	NOUN	ж
Экономика	potrošnja	потребление	NOUN	ж
Экономика	ulaganje	вложение	NOUN	с
Экономика	dobit	прибыль	NOUN	ж
Экономика	gubitak	убыток, потеря	NOUN	м
Экономика	kredit	кредит	NOUN	м
Экономика	kamata	процент по кредиту	NOUN	ж
Экономика	dugovanje	задолженность	NOUN	с
Экономика	trošak	расход	NOUN	м
Экономика	prihod	доход	NOUN	м
Экономика	nezaposlenost	безработица	NOUN	ж
Экономика	štedeti	экономить	VERB	несврш.
Экономика	uložiti	вложить	VERB	сврш.
Экономика	povećati	увеличить	VERB	сврш.
Экономика	smanjiti	уменьшить	VERB	сврш.
Медиа	vest	новость	NOUN	ж
Медиа	izveštaj	отчёт, репортаж	NOUN	м
Медиа	članak	статья	NOUN	м
Медиа	naslov	заголовок	NOUN	м
Медиа	intervju	интервью	NOUN	м
Медиа	izjava	заявление	NOUN	ж
Медиа	javnost	общественность	NOUN	ж
Медиа	istina	правда	NOUN	ж
Медиа	laž	ложь	NOUN	ж
Медиа	glasina	слух	NOUN	ж
Медиа	izvor	источник	NOUN	м
Медиа	objaviti	опубликовать	VERB	сврш.
Медиа	tvrditi	утверждать	VERB	несврш.
Медиа	poricati	отрицать	VERB	несврш.
Медиа	preneti	передать	VERB	сврш.
Наука	nauka	наука	NOUN	ж
Наука	istraživanje	исследование	NOUN	с
Наука	otkriće	открытие	NOUN	с
Наука	teorija	теория	NOUN	ж
Наука	dokaz	доказательство	NOUN	м
Наука	metoda	метод	NOUN	ж
Наука	rezultat	результат	NOUN	м
Наука	merenje	измерение	NOUN	с
Наука	podatak	данные	NOUN	м
Наука	pojava	явление	NOUN	ж
Наука	uzrok	причина	NOUN	м
Наука	svrha	цель, назначение	NOUN	ж
Наука	dokazati	доказать	VERB	сврш.
Наука	proveriti	проверить	VERB	сврш.
Наука	zaključiti	заключить	VERB	сврш.
Культура	kultura	культура	NOUN	ж
Культура	umetnost	искусство	NOUN	ж
Культура	umetnik	художник, деятель искусства	NOUN	м
Культура	književnost	литература	NOUN	ж
Культура	pisac	писатель	NOUN	м
Культура	roman	роман	NOUN	м
Культура	priča	рассказ	NOUN	ж
Культура	junak	герой	NOUN	м
Культура	radnja	действие, сюжет	NOUN	ж
Культура	predstava	спектакль; представление	NOUN	ж
Культура	publika	публика	NOUN	ж
Культура	nasleđe	наследие	NOUN	с
Культура	folklor	фольклор	NOUN	м
Культура	verovanje	верование	NOUN	с
Отношения	poznanstvo	знакомство	NOUN	с
Отношения	poverenje	доверие	NOUN	с
Отношения	prijateljstvo	дружба	NOUN	с
Отношения	svađa	ссора	NOUN	ж
Отношения	pomirenje	примирение	NOUN	с
Отношения	dogovor	договорённость	NOUN	м
Отношения	savet	совет	NOUN	м
Отношения	molba	просьба	NOUN	ж
Отношения	zahvalnost	благодарность	NOUN	ж
Отношения	izvinjenje	извинение	NOUN	с
Отношения	uvreda	оскорбление	NOUN	ж
Отношения	poštovanje	уважение	NOUN	с
